,dist,medical_facilities,economic_indicators,educational_resources,public_safety,natural_environment,transportation
0,中山區,2.4767821253823232,2.5657794957361504,0.2024188475831087,-0.9208479996344779,-0.01513682817260808,1.9558893792144714
1,中正區,0.7583219584547185,0.4960929068953821,1.8212990950060686,0.06810128707223298,0.7104361365268376,1.7507850497144906
2,信義區,1.048152391124382,0.1180859494420601,-0.514766590687827,-0.9097421453195268,-1.275066516545887,0.9686971444875148
3,內湖區,-1.606178874597027,-1.0040899110121262,-0.24494236549652307,0.21894078855156798,-0.2976643283184991,-1.5871301952745076
4,北投區,-1.7698887645324528,-1.300150633687048,-0.9012738785643228,1.2109401336527963,-0.6275572159150589,-1.232447853156455
5,南港區,-3.4751620520348605,-1.1469093382056164,-1.1120343620434183,1.6739768106780029,1.408053571797987,-0.21202902867448298
6,士林區,-1.301207602695829,-0.9502115550478859,-0.28555732484823215,0.7178341862862768,1.2213117706501677,-1.6548736801434576
7,大同區,0.2751915814404766,0.6834215709311695,-0.05124607016017171,-0.7085993457366726,1.391758781981812,1.2237031708913613
8,大安區,4.076852109193033,0.7859661066633485,0.7213916417290768,-0.09110994783557563,-0.5665369813979516,0.902486762398355
9,文山區,-2.539137457501762,-1.3479000758124402,0.6214169986790701,-0.4565464577245919,-1.2833595744699373,-0.8491889531053098
10,松山區,2.7285500057025796,0.9910061947659935,-0.4844977569728961,-0.14375206986664718,-0.06899672774427179,-0.11543368072500133
11,萬華區,0.39394843190832707,0.391373790764938,0.7015595296110453,-0.509116912693843,1.9010473682740852,1.5735627516987511
