,機構狀態,機構名稱,地址縣市別,地址鄉鎮市區,地址街道巷弄號,負責人姓名,負責人性別,電話,是否為健保特約藥局,地址,修正地址,floor,lon,lat
0,開業,活力健康藥妝藥局,臺北市,中正區,中華路二段315巷1號,蕭聖鈞,男,23392625,Y,臺北市中正區中華路二段315巷1號,False,1,121.50608259999998,25.028027699999996
1,開業,建祥武昌藥局,臺北市,中正區,武昌街1段29號1樓,黃盟婷,女,2381-5229,Y,臺北市中正區武昌街1段29號1樓,False,1,121.51213,25.044231999999997
2,開業,保德中華藥局,臺北市,中正區,中華路二段159號,蕭宇凱,男,02-23027720,Y,臺北市中正區中華路二段159號,False,1,121.50423339999999,25.0309786
3,開業,71恩典藥局,臺北市,中正區,信義路二段71號,洪增陽,男,23223371,Y,臺北市中正區信義路二段71號,False,1,121.526427,25.034679999999998
4,開業,豐仁藥局,臺北市,中正區,寧波西街161號,黃敬堯,男,02-23033908,Y,臺北市中正區寧波西街161號,False,1,121.51092430000001,25.0273874
5,開業,立赫健保藥局,臺北市,中正區,新生南路一段16之2號,曾冠燁,男,02-33223231,Y,臺北市中正區新生南路一段16之2號,False,1,121.53251800000001,25.043195700000002
6,開業,汀州健康人生藥局,臺北市,中正區,汀州路三段211號,蔣采蓁,女,2368-8902,Y,臺北市中正區汀州路三段211號,False,1,121.53365199999999,25.014224900000002
7,開業,宏越藥局,臺北市,中正區,中華路二段313巷4號,李孟樵,男,2305-0880,Y,臺北市中正區中華路二段313巷4號,False,1,121.5060644,25.028037799999996
8,開業,大盛藥局,臺北市,中正區,中華路一段21巷16號,許維珊,女,0223316807,Y,臺北市中正區中華路一段21巷16號,False,1,121.51053999999999,25.046429500000002
9,開業,北車維康藥局,臺北市,中正區,青島西路11號,張育瑋,男,02-2361-3509,Y,臺北市中正區青島西路11號,False,1,121.5177209,25.045048299999998
10,開業,和眾藥局,臺北市,中正區,忠孝西路一段6號,趙珮玲,女,02-23911393,Y,臺北市中正區忠孝西路一段6號,False,1,121.5179717,25.0457942
11,開業,中力藥局,臺北市,中正區,襄陽路13之5號、15號,林淑芬,女,02-23313768,Y,臺北市中正區襄陽路13之5號、15號,False,1,121.515501,25.043541899999997
12,開業,躍獅南門藥局,臺北市,中正區,中華路二段39巷10號,王聖豪,男,02-23141111,Y,臺北市中正區中華路二段39巷10號,False,1,121.5072933,25.034833199999998
13,開業,桐心藥局,臺北市,中正區,金華街18之6號1樓,楊茜予,女,02-2358-1663,Y,臺北市中正區金華街18之6號1樓,False,1,121.520236,25.031730000000003
14,開業,吉如有限公司,臺北市,中正區,新生南路1段50之2號4樓,黃峰淇,男,0223965643,N,臺北市中正區新生南路1段50之2號4樓,False,4,121.5324956,25.0419585
15,開業,裕全企業有限公司,臺北市,中正區,羅斯福路一段１０號十樓之三,陳恒全,男,23968970,N,臺北市中正區羅斯福路一段10號十樓之三,False,10,121.51833819999999,25.0319266
16,開業,佳和醫療器材行,臺北市,中正區,黎明里公園路30號,吳鴻翔,男,02-23117102,,臺北市中正區黎明里公園路30號,False,1,121.5167927,25.044406400000007
17,開業,南和藥局,臺北市,中正區,泉州街１４１號,趙常元,男,02-23032755,N,臺北市中正區泉州街141號,False,1,121.51306980000001,25.0248374
18,開業,日生大藥局,臺北市,中正區,汀州路一段５３號１樓,李志剛,男,0223031393,Y,臺北市中正區汀州路一段53號1樓,False,1,121.50768889999999,25.030283099999995
19,開業,三元藥局,臺北市,中正區,三元街１５８號,簡素雲,女,0223052839,Y,臺北市中正區三元街158號,False,1,121.51082209999998,25.0279854
20,開業,大安藥局,臺北市,中正區,新生南路一段一○六號,陳芸馥,女,0223213186,Y,臺北市中正區新生南路一段一○六號,True,1,121.53245455,25.03963355
21,開業,上海聯合藥局,臺北市,中正區,衡陽路３２號１樓,李照雄,男,0223714797,Y,臺北市中正區衡陽路32號1樓,False,1,121.512646,25.042183
22,開業,中心藥局,臺北市,中正區,汀州路三段１２１號,楊淑真,女,0223689889,Y,臺北市中正區汀州路三段121號,False,1,121.5303278,25.0165537
23,開業,楊藥局,臺北市,中正區,臨沂街２９巷１８號,楊明仁,男,0223414449,N,臺北市中正區臨沂街29巷18號,False,1,121.5308257,25.039837799999997
24,開業,和康大藥局,臺北市,中正區,忠孝東路一段７８號１樓,江惟芳,男,02-23958181,N,臺北市中正區忠孝東路一段78號1樓,False,1,121.5239935,25.0444058
25,開業,古亭藥局,臺北市,中正區,汀州路三段１１７號,廖秀香,女,,Y,臺北市中正區汀州路三段117號,False,1,121.5301777,25.016679500000002
26,開業,新獻安藥局,臺北市,中正區,羅斯福路一段１５號,李宏仁,男,0223519891,Y,臺北市中正區羅斯福路一段15號,False,1,121.51821050000001,25.0332027
27,開業,國杏藥師示範藥局,臺北市,中正區,延平南路１７１巷３號,費工梅,女,0223811322,Y,臺北市中正區延平南路171巷3號,False,1,121.5078769,25.034884700000003
28,開業,東華藥局,臺北市,中正區,汀州路三段一一三號,張平馬,男,02-23640852、02-23640852、0223640582,Y,臺北市中正區汀州路三段一一三號,True,1,121.53006590000001,25.0167468
29,開業,連雲藥局,臺北市,中正區,連雲街79號,徐信誠,男,02-23410504,Y,臺北市中正區連雲街79號,False,1,121.5301861,25.0343527
30,開業,合泰大藥局,臺北市,中正區,衡陽路26號,吳秀美,女,0223899977,Y,臺北市中正區衡陽路26號,False,1,121.512827,25.042188000000003
